City,Country,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed
Paris,France,2023-01-19,108.06,46.08,22.17,38.14,9.36,96.06,35.84,28.22,4.71
New York,USA,2023-05-14,104.6,151.0,49.75,25.44,4.58,192.42,23.1,41.57,3.58
Rio de Janeiro,Brazil,2023-09-27,37.12,61.81,95.12,48.37,3.06,62.94,4.38,52.33,10.1
Seoul,South Korea,2023-07-12,7.74,42.5,11.76,16.66,9.93,17.31,34.54,86.55,17.71
Sydney,Australia,2023-09-05,128.7,74.97,44.36,10.16,7.24,89.8,-0.04,11.8,13.06
Beijing,China,2023-06-08,108.22,134.02,12.5,36.53,6.16,171.31,-8.99,23.79,1.6
Mexico City,Mexico,2023-08-09,78.4,17.46,7.33,30.72,7.16,82.04,8.36,38.9,17.33
Mexico City,Mexico,2023-11-18,78.46,15.4,55.83,16.53,0.75,32.33,36.34,98.13,11.94
Dubai,UAE,2023-04-01,114.11,105.56,89.85,26.8,9.27,195.56,15.58,74.68,6.96
Istanbul,Turkey,2023-01-11,103.92,14.66,83.28,42.63,7.91,159.03,35.36,59.1,2.33
Los Angeles,USA,2023-09-07,18.62,154.97,8.23,45.18,1.26,166.02,0.24,29.65,8.05
Mumbai,India,2023-03-13,104.22,192.12,65.04,40.25,6.17,129.81,2.15,63.79,9.86
Madrid,Spain,2023-12-20,149.65,82.11,33.57,5.5,6.64,178.39,21.41,87.6,8.12
Sydney,Australia,2023-10-18,110.39,161.57,92.96,25.41,4.76,105.99,5.96,56.91,14.66
Rio de Janeiro,Brazil,2023-08-25,141.57,92.14,49.93,39.22,2.2,99.0,27.04,14.04,11.9
Paris,France,2023-12-16,58.89,117.83,98.97,20.82,6.55,162.27,26.2,17.23,16.6
New York,USA,2023-09-06,102.51,44.38,49.12,14.91,8.11,176.49,23.37,51.07,2.09
Toronto,Canada,2023-07-26,76.01,98.4,87.66,14.14,7.97,57.29,39.63,44.83,9.51
Berlin,Germany,2023-08-17,115.54,136.72,78.85,16.1,1.9,166.43,22.68,27.41,15.83
Berlin,Germany,2023-05-05,9.03,44.97,54.84,8.29,8.18,148.51,18.6,96.02,15.86
Paris,France,2023-02-08,43.9,133.34,69.7,24.65,4.17,88.17,-2.17,23.3,7.88
Sydney,Australia,2023-11-27,125.6,28.66,45.31,34.78,4.84,150.02,0.12,20.63,13.52
Mumbai,India,2023-12-26,26.9,38.99,23.99,11.31,8.27,123.27,-4.84,25.67,15.21
Rio de Janeiro,Brazil,2023-06-05,119.57,63.31,20.35,6.41,0.18,173.84,33.54,15.56,15.01
Bangkok,Thailand,2023-10-05,119.29,28.48,33.27,30.43,9.49,129.34,16.07,43.63,19.06
Mumbai,India,2023-09-04,48.1,44.86,87.04,19.36,0.17,148.11,15.91,41.07,4.84
New York,USA,2023-04-06,141.51,140.73,8.4,23.94,7.57,47.1,27.84,20.32,8.03
Mumbai,India,2023-04-07,139.59,82.7,76.45,28.55,6.43,30.91,1.67,18.19,11.87
Paris,France,2023-03-21,111.58,178.28,73.39,44.97,1.7,138.83,0.23,43.91,7.03
Beijing,China,2023-02-11,42.39,105.09,58.92,9.66,4.92,138.09,-2.53,66.55,5.59
Tokyo,Japan,2023-01-08,118.74,41.45,27.16,43.78,0.42,195.94,20.02,30.25,19.04
Cairo,Egypt,2023-06-24,52.99,79.9,42.0,12.11,9.45,86.71,0.88,30.65,2.49
Rio de Janeiro,Brazil,2023-11-22,67.12,110.73,94.27,32.88,3.89,151.59,-6.5,27.88,3.77
Mumbai,India,2023-08-04,41.52,166.09,6.59,23.87,3.6,14.39,5.69,10.51,4.39
Beijing,China,2023-01-24,15.79,93.13,63.05,33.9,7.96,79.97,4.78,80.0,0.93
Istanbul,Turkey,2023-09-22,58.76,190.38,25.18,16.28,1.02,183.08,-0.98,99.0,13.18
Los Angeles,USA,2023-12-13,67.85,108.38,67.98,32.69,5.95,170.87,16.12,40.58,18.13
Moscow,Russia,2023-11-03,120.76,142.71,63.25,25.63,7.93,20.54,23.27,79.96,4.31
Istanbul,Turkey,2023-12-14,138.9,24.1,65.12,20.7,3.8,151.56,-1.26,19.98,18.25
Moscow,Russia,2023-06-17,32.65,184.71,44.6,2.71,2.38,124.66,35.99,45.99,16.76
Sydney,Australia,2023-08-26,71.98,101.29,9.06,4.55,1.29,184.53,25.82,96.56,10.12
Rio de Janeiro,Brazil,2023-05-10,9.5,107.5,58.48,4.53,1.54,155.19,35.12,74.38,1.52
Bangkok,Thailand,2023-11-02,80.24,39.4,74.62,32.12,3.5,181.96,33.56,37.57,4.29
Johannesburg,South Africa,2023-12-21,42.63,181.62,18.21,7.42,2.94,22.71,15.15,13.77,14.65
Beijing,China,2023-07-28,36.56,121.87,13.84,40.62,0.11,45.85,31.33,89.17,12.89
Bangkok,Thailand,2023-08-11,38.02,94.86,22.23,47.71,7.37,154.66,6.01,96.14,5.72
Los Angeles,USA,2023-12-25,95.85,100.56,14.91,31.56,9.22,176.19,23.98,22.36,9.9
Tokyo,Japan,2023-07-06,81.44,173.02,26.89,9.87,5.92,171.73,5.14,28.63,10.91
Paris,France,2023-12-13,75.18,117.38,70.36,15.79,0.37,130.34,0.94,71.66,19.31
Mumbai,India,2023-12-28,141.04,101.91,16.8,12.0,5.4,196.22,0.84,20.08,11.33
London,UK,2023-09-21,101.57,61.25,94.34,6.46,8.77,48.22,-2.12,94.04,19.25
Paris,France,2023-12-17,54.39,138.59,74.8,38.91,0.78,123.5,34.66,63.53,2.38
Bangkok,Thailand,2023-09-02,116.03,198.89,28.25,27.41,9.86,53.89,14.66,79.86,6.54
Cairo,Egypt,2023-07-24,127.91,187.36,70.0,20.58,4.2,171.67,-1.03,44.59,12.91
New York,USA,2023-12-22,18.7,122.12,81.59,31.43,0.43,81.22,1.0,72.36,1.1
Madrid,Spain,2023-08-21,109.78,73.08,63.45,11.11,8.82,99.13,2.05,17.98,0.83
Moscow,Russia,2023-09-03,55.66,131.52,69.34,44.42,9.48,126.36,36.34,52.88,12.23
Tokyo,Japan,2023-10-15,24.4,57.5,85.06,41.03,4.71,146.13,10.34,25.24,19.28
Mumbai,India,2023-02-15,105.39,105.63,49.45,13.38,7.64,115.88,10.37,14.75,17.93
Mexico City,Mexico,2023-02-14,81.46,103.45,16.18,8.06,1.09,149.55,34.23,54.27,4.44
Tokyo,Japan,2023-05-19,83.81,123.98,10.12,2.36,8.75,46.11,6.99,76.85,9.06
Beijing,China,2023-05-13,110.25,47.46,93.6,14.26,0.88,153.94,21.32,32.48,3.47
Berlin,Germany,2023-10-24,8.49,135.81,13.37,19.5,9.69,163.02,8.05,24.24,15.57
Dubai,UAE,2023-10-07,54.33,33.68,52.24,44.08,3.85,156.0,36.56,17.54,13.24
Johannesburg,South Africa,2023-06-09,16.76,142.36,25.16,37.43,5.42,191.71,2.88,63.72,17.91
Mexico City,Mexico,2023-10-11,90.31,25.94,44.59,20.44,5.27,97.25,28.78,24.5,12.05
Paris,France,2023-02-17,16.2,15.39,85.57,24.13,6.68,115.51,12.05,76.54,1.92
Mexico City,Mexico,2023-01-01,45.9,181.16,45.46,39.68,8.44,61.72,32.15,26.16,2.08
Paris,France,2023-05-11,120.33,17.48,91.42,28.19,9.33,158.29,14.65,70.27,3.19
Istanbul,Turkey,2023-03-18,12.66,98.69,66.48,11.08,3.36,23.9,35.77,39.73,17.91
Toronto,Canada,2023-09-06,8.2,46.42,92.16,2.8,7.77,112.15,30.36,23.29,18.59
Moscow,Russia,2023-08-26,51.38,117.81,95.35,21.32,3.67,106.72,-5.55,89.46,14.7
Berlin,Germany,2023-12-10,136.1,45.8,85.16,2.16,6.96,91.15,18.15,30.17,13.81
Istanbul,Turkey,2023-01-18,46.94,140.29,66.56,12.22,5.66,143.04,11.4,67.29,2.67
Beijing,China,2023-12-21,48.45,161.38,62.97,9.47,2.72,171.0,22.62,18.29,12.56
Paris,France,2023-06-24,65.48,72.21,31.12,42.28,6.12,166.75,-6.09,56.16,0.84
Mexico City,Mexico,2023-11-09,129.05,121.79,31.15,6.58,2.52,113.91,34.62,81.66,2.4
Toronto,Canada,2023-03-05,54.47,192.62,65.02,1.05,3.76,197.13,26.94,49.69,11.2
Dubai,UAE,2023-07-12,122.59,110.84,59.24,10.37,8.32,183.72,13.24,93.28,4.14
Madrid,Spain,2023-03-12,90.14,73.44,59.23,11.72,5.19,144.07,3.49,87.26,9.28
Los Angeles,USA,2023-05-23,108.99,64.13,78.24,3.86,7.45,119.66,37.57,80.42,2.07
Bangkok,Thailand,2023-09-08,113.68,184.47,49.27,38.37,8.37,41.84,-4.19,26.96,11.35
Dubai,UAE,2023-02-05,78.1,196.71,20.84,36.43,9.07,23.92,27.66,15.12,5.79
Istanbul,Turkey,2023-03-03,113.5,84.35,95.46,11.4,7.65,22.39,-6.45,28.31,10.49
New York,USA,2023-05-20,41.62,108.22,13.34,13.63,1.2,105.58,18.6,63.73,17.6
Los Angeles,USA,2023-09-23,74.45,98.98,87.09,37.63,5.46,63.86,22.92,41.43,7.04
Madrid,Spain,2023-04-23,85.54,136.65,43.39,15.5,0.69,119.46,25.39,29.32,8.59
Sydney,Australia,2023-05-27,5.45,27.59,54.49,32.14,8.6,153.73,19.32,15.64,2.54
Paris,France,2023-02-09,132.14,63.82,87.49,4.56,2.88,189.07,3.93,58.5,14.95
Berlin,Germany,2023-01-22,60.67,117.57,64.04,9.66,7.04,112.53,32.02,93.3,11.73
Dubai,UAE,2023-09-09,44.81,107.93,25.25,21.68,1.95,112.3,25.25,44.58,19.75
Sydney,Australia,2023-04-15,104.09,30.83,71.12,16.26,3.93,75.7,33.43,10.44,4.27
Madrid,Spain,2023-03-22,111.07,176.92,97.83,48.5,4.14,75.14,-0.29,79.15,14.94
Beijing,China,2023-03-22,135.16,60.8,76.0,7.28,1.13,169.8,-7.6,34.64,1.56
Madrid,Spain,2023-07-13,8.12,153.06,38.59,49.13,2.74,27.24,7.49,90.11,4.79
Bangkok,Thailand,2023-03-16,45.22,99.87,42.27,15.26,3.75,11.66,-3.12,86.73,3.08
Beijing,China,2023-02-26,18.41,195.86,61.77,46.65,8.69,129.92,32.27,30.72,8.16
Los Angeles,USA,2023-12-10,104.55,39.0,6.39,5.29,6.07,167.72,-5.06,22.7,15.6
London,UK,2023-09-25,114.81,43.84,48.49,11.99,0.47,35.53,22.14,51.06,17.15
Johannesburg,South Africa,2023-11-11,79.32,22.36,73.84,48.22,2.88,100.65,32.78,10.56,7.85
Dubai,UAE,2023-06-24,80.99,102.01,58.69,27.0,0.79,156.6,33.29,87.77,19.37
Paris,France,2023-10-17,103.81,27.87,81.6,24.15,6.72,28.46,17.34,24.84,5.31
Moscow,Russia,2023-08-14,48.58,196.0,67.36,16.98,2.74,148.11,9.94,75.9,16.51
New York,USA,2023-12-25,135.83,93.46,94.48,4.93,9.36,123.55,24.46,12.35,11.2
Madrid,Spain,2023-07-27,115.67,113.25,50.81,23.85,2.51,107.08,37.11,68.75,9.37
Toronto,Canada,2023-08-28,116.05,171.38,67.17,49.17,4.02,71.33,10.27,53.49,14.74
Berlin,Germany,2023-01-13,14.89,62.64,17.91,31.07,7.51,86.51,6.29,69.31,16.31
Sydney,Australia,2023-07-28,66.31,161.07,40.65,21.16,1.86,131.45,21.03,66.76,9.18
London,UK,2023-11-02,44.2,185.76,21.02,13.75,8.6,131.88,-0.13,66.49,13.73
New York,USA,2023-02-08,30.27,141.24,96.89,16.77,6.08,112.01,10.31,71.54,16.65
Mexico City,Mexico,2023-02-24,27.24,81.92,99.41,30.02,8.29,124.31,-0.24,59.97,10.08
Dubai,UAE,2023-03-25,78.0,107.39,44.82,40.16,7.41,93.82,10.15,91.5,5.07
Rio de Janeiro,Brazil,2023-02-19,135.99,184.1,72.87,37.43,0.49,75.52,-6.72,22.38,19.83
Johannesburg,South Africa,2023-01-21,109.89,42.41,25.47,14.58,0.79,101.16,2.04,96.19,3.06
Paris,France,2023-05-16,148.98,156.67,14.75,22.46,5.2,153.76,36.97,54.79,2.45
Dubai,UAE,2023-10-07,146.66,138.02,62.89,32.13,9.19,100.63,21.99,52.35,12.73
Moscow,Russia,2023-04-12,137.68,138.63,96.1,17.13,3.38,15.83,31.87,34.21,17.82
Paris,France,2023-02-23,59.77,188.71,5.15,7.48,3.86,100.84,0.32,54.6,3.67
Johannesburg,South Africa,2023-01-04,62.49,194.18,19.42,6.44,8.52,109.25,-4.29,51.31,6.89
Los Angeles,USA,2023-09-22,8.49,192.28,17.33,2.97,7.06,40.33,-8.55,17.75,1.36
Los Angeles,USA,2023-02-08,109.74,176.9,87.83,37.38,0.82,34.14,1.37,71.69,8.55
Madrid,Spain,2023-01-06,14.91,176.58,11.76,36.82,8.57,199.63,-4.81,31.28,10.18
Rio de Janeiro,Brazil,2023-10-14,76.66,162.89,24.17,33.62,7.51,166.3,34.93,70.62,6.51
Los Angeles,USA,2023-01-17,89.07,93.49,36.41,29.77,4.49,15.59,21.12,10.62,17.64
Bangkok,Thailand,2023-07-02,45.77,16.94,71.15,34.87,8.05,47.33,38.26,63.69,11.8
Berlin,Germany,2023-05-09,29.99,51.03,5.01,23.41,2.34,66.93,0.6,34.47,1.14
Seoul,South Korea,2023-01-17,49.54,21.06,14.91,37.89,9.92,16.48,21.88,40.47,10.66
Toronto,Canada,2023-07-14,71.76,12.57,50.27,41.85,2.99,135.41,36.06,20.97,6.62
Bangkok,Thailand,2023-01-24,125.5,164.13,45.17,22.74,0.67,129.49,-0.57,95.47,8.88
Mumbai,India,2023-09-19,89.39,124.83,88.82,7.57,9.72,151.68,0.95,38.28,18.32
Toronto,Canada,2023-03-14,94.02,196.27,83.2,23.25,1.55,29.34,26.36,93.09,19.55
Toronto,Canada,2023-01-20,95.96,24.75,49.71,19.97,8.18,101.28,10.78,55.4,8.38
Tokyo,Japan,2023-02-11,46.72,56.71,7.1,17.77,6.11,65.69,14.02,22.61,18.01
Seoul,South Korea,2023-10-13,65.62,191.71,23.3,23.69,0.1,75.72,24.13,35.81,2.74
Toronto,Canada,2023-01-09,113.06,73.09,48.15,31.31,6.2,196.21,12.14,57.03,6.54
New York,USA,2023-11-25,110.83,136.39,55.17,33.56,8.94,20.1,19.34,96.94,5.82
Sydney,Australia,2023-08-07,95.94,174.39,85.44,9.74,3.53,104.84,13.46,22.22,12.92
Cairo,Egypt,2023-06-16,18.65,113.01,13.51,21.26,6.69,153.76,24.23,95.76,13.72
Toronto,Canada,2023-04-01,54.04,78.16,85.08,18.63,9.29,172.79,-7.39,44.91,2.53
Toronto,Canada,2023-03-27,48.38,177.13,92.11,45.74,2.94,189.58,5.04,46.16,6.17
Madrid,Spain,2023-08-16,56.24,61.3,69.25,11.62,7.11,196.65,14.31,16.79,9.84
Los Angeles,USA,2023-09-02,22.38,125.29,5.96,3.82,9.07,157.24,34.64,54.55,6.13
Sydney,Australia,2023-12-04,136.83,153.2,8.07,49.15,0.19,52.46,13.3,62.48,13.85
Dubai,UAE,2023-07-12,128.68,196.32,95.5,4.46,3.57,152.06,16.56,94.58,19.97
Cairo,Egypt,2023-08-03,88.69,77.95,8.3,38.44,2.29,159.09,11.67,37.72,18.72
Mexico City,Mexico,2023-04-15,142.4,190.27,90.87,11.66,9.07,132.62,3.11,57.21,14.76
Paris,France,2023-01-28,112.17,107.82,50.15,24.3,5.14,132.45,39.16,80.18,17.28
Moscow,Russia,2023-03-17,54.04,49.61,19.51,11.59,6.01,179.46,33.42,66.42,0.62
Mumbai,India,2023-05-18,72.43,198.37,86.56,31.78,4.38,188.16,21.95,50.11,12.7
Paris,France,2023-03-19,131.25,119.75,67.39,34.48,3.8,111.23,16.87,23.17,5.81
Madrid,Spain,2023-11-14,17.48,73.4,69.12,21.08,7.77,49.24,28.85,73.02,17.64
Bangkok,Thailand,2023-10-20,78.65,143.24,85.25,30.16,2.56,189.95,-7.51,21.47,1.44
Los Angeles,USA,2023-02-21,41.38,180.25,80.51,45.77,3.72,119.87,29.96,17.41,5.16
New York,USA,2023-11-25,126.89,107.79,27.77,8.17,9.26,40.04,12.69,74.36,1.18
Istanbul,Turkey,2023-01-20,116.53,34.49,48.19,9.66,8.34,148.89,1.87,59.47,10.08
Istanbul,Turkey,2023-09-21,17.63,38.81,52.48,16.29,4.55,135.92,13.28,93.16,2.41
Toronto,Canada,2023-09-01,39.2,113.91,18.9,33.56,6.69,50.95,-2.97,60.69,12.84
Sydney,Australia,2023-01-07,129.43,87.56,50.74,33.35,8.31,76.07,16.85,49.44,17.0
Berlin,Germany,2023-06-08,10.38,152.92,84.76,18.13,5.9,190.54,14.06,67.59,18.42
Tokyo,Japan,2023-11-21,96.78,99.03,97.67,28.82,8.32,137.05,21.21,55.74,6.56
Toronto,Canada,2023-10-26,7.36,189.82,9.25,1.97,4.12,138.84,27.43,48.23,19.69
Los Angeles,USA,2023-10-28,85.88,165.54,78.32,44.21,8.3,149.28,-1.12,17.49,6.12
Johannesburg,South Africa,2023-03-09,46.82,41.33,28.78,1.02,7.77,145.85,15.58,92.71,1.7
Sydney,Australia,2023-04-07,115.04,121.97,71.81,49.32,7.13,24.72,5.14,56.11,6.29
Istanbul,Turkey,2023-06-16,89.18,121.75,58.6,10.92,4.22,65.1,32.57,14.13,12.46
New York,USA,2023-09-23,32.57,195.67,81.11,7.51,4.14,132.79,34.31,77.94,3.04
Dubai,UAE,2023-04-12,32.29,112.39,64.84,16.66,5.34,91.92,-6.23,62.72,14.69
Mumbai,India,2023-01-25,47.54,45.47,83.6,15.8,6.43,170.52,11.18,11.56,4.59
Madrid,Spain,2023-06-23,19.0,157.19,52.73,33.27,6.83,101.68,20.9,58.2,6.21
Beijing,China,2023-07-23,127.71,174.14,15.59,48.75,4.03,71.16,33.75,16.68,5.83
New York,USA,2023-09-12,114.68,83.51,93.08,39.23,6.77,103.45,-9.02,22.51,19.67
Tokyo,Japan,2023-03-20,89.12,43.8,15.17,41.03,0.57,91.26,11.68,37.28,12.49
Los Angeles,USA,2023-12-24,126.59,193.26,87.17,44.9,4.01,97.72,19.8,89.72,3.75
Madrid,Spain,2023-07-13,54.83,102.93,21.91,6.83,0.96,158.48,9.62,11.73,9.12
Toronto,Canada,2023-05-03,24.28,196.38,74.67,3.08,1.84,29.03,31.52,58.76,17.99
Berlin,Germany,2023-11-08,113.4,178.21,93.16,30.11,2.83,15.8,5.1,31.26,14.96
Toronto,Canada,2023-03-19,44.4,23.54,31.67,40.04,9.23,192.74,30.38,89.59,10.78
Paris,France,2023-01-14,116.42,112.6,25.52,3.16,3.55,55.5,-8.18,37.8,2.69
Sydney,Australia,2023-01-04,105.66,90.46,70.4,9.26,4.68,91.31,7.2,51.49,12.48
Berlin,Germany,2023-06-22,21.1,122.84,51.81,29.83,5.37,47.29,-5.38,82.63,2.08
Johannesburg,South Africa,2023-05-01,50.31,27.28,96.71,2.95,2.04,100.42,-7.97,15.77,13.67
Berlin,Germany,2023-08-14,114.61,70.98,30.84,23.86,4.09,180.5,18.31,83.92,18.69
Bangkok,Thailand,2023-10-24,117.45,43.74,27.81,5.3,1.9,194.41,-5.97,84.03,10.57
New York,USA,2023-09-07,15.07,195.23,44.98,21.67,7.71,192.85,30.14,86.1,7.06
Tokyo,Japan,2023-07-28,96.19,91.76,30.52,10.39,7.54,80.33,10.92,36.24,17.61
Istanbul,Turkey,2023-04-09,70.77,56.34,57.25,45.92,9.87,62.7,28.16,36.8,6.06
Paris,France,2023-09-21,47.92,166.41,82.87,25.7,6.78,197.31,8.89,43.3,19.2
London,UK,2023-05-09,8.67,115.75,94.47,41.93,7.55,192.17,33.22,93.81,2.29
London,UK,2023-11-12,15.34,45.1,47.64,20.59,1.3,119.86,31.87,54.32,6.73
Toronto,Canada,2023-11-04,101.53,79.96,67.22,37.46,4.97,135.63,-3.73,61.8,6.24
Mumbai,India,2023-07-03,90.08,128.64,42.02,23.73,5.4,28.17,-6.44,20.69,16.47
Mumbai,India,2023-01-04,92.84,155.11,8.99,11.29,2.22,71.12,6.97,95.96,3.47
London,UK,2023-11-09,96.33,28.84,72.73,43.22,4.07,53.81,1.9,64.75,16.67
Paris,France,2023-06-16,66.98,40.84,11.56,24.9,5.24,154.62,2.03,15.78,2.63
Madrid,Spain,2023-01-20,25.39,190.1,90.36,29.0,6.67,97.65,31.87,46.07,2.56
Madrid,Spain,2023-03-11,71.07,36.01,5.27,1.34,9.78,143.28,5.78,94.54,1.46
Seoul,South Korea,2023-06-12,45.15,134.19,95.41,34.3,1.19,170.65,-8.33,40.71,10.57
Bangkok,Thailand,2023-11-26,58.94,29.27,10.56,7.01,2.27,181.04,26.27,91.76,13.86
Sydney,Australia,2023-02-16,127.05,70.09,92.17,13.25,3.35,156.27,1.85,46.74,8.75
Mexico City,Mexico,2023-09-11,106.63,167.91,34.78,24.04,1.26,116.21,21.43,65.4,2.11
Berlin,Germany,2023-07-01,139.06,169.58,30.47,49.42,8.52,24.54,35.27,42.29,18.89
Paris,France,2023-02-19,28.36,72.95,21.96,21.97,9.41,124.28,-8.04,44.5,13.0
London,UK,2023-11-16,110.72,194.19,12.23,37.05,8.6,42.54,6.99,18.23,7.4
Madrid,Spain,2023-01-25,64.64,86.98,65.02,48.8,7.77,134.4,37.04,84.89,11.3
Los Angeles,USA,2023-06-19,43.75,117.83,25.11,26.39,8.33,189.78,9.68,75.66,10.51
Mexico City,Mexico,2023-09-23,74.99,128.8,6.68,4.6,0.9,144.35,-9.48,43.59,10.54
Istanbul,Turkey,2023-02-12,142.05,87.44,9.19,23.59,3.69,117.81,-4.32,93.87,18.52
London,UK,2023-01-09,46.4,78.22,69.69,48.95,6.56,140.21,28.39,61.38,8.73
Tokyo,Japan,2023-11-21,110.18,160.63,12.01,49.71,1.85,143.0,9.55,95.34,14.2
London,UK,2023-07-07,71.4,184.07,77.15,21.19,2.19,178.46,-2.35,25.07,14.26
Seoul,South Korea,2023-08-07,19.47,190.21,56.06,2.33,0.1,94.22,37.59,69.87,6.11
Cairo,Egypt,2023-03-22,138.59,119.29,83.05,24.31,0.85,140.64,-1.31,64.33,10.02
Berlin,Germany,2023-04-24,10.29,164.74,28.06,11.11,2.7,131.26,19.83,31.91,6.86
Beijing,China,2023-11-06,55.16,21.7,57.14,21.25,5.75,161.52,27.43,85.5,2.2
Toronto,Canada,2023-08-18,79.24,55.89,57.12,34.46,6.77,136.4,38.36,25.36,7.34
Tokyo,Japan,2023-02-04,126.4,108.47,70.99,26.08,7.96,84.41,19.74,26.9,4.73
Rio de Janeiro,Brazil,2023-11-16,138.41,51.68,24.67,32.32,9.94,63.5,15.74,74.78,10.39
Seoul,South Korea,2023-01-14,8.2,173.35,86.27,17.15,0.53,106.79,5.2,24.32,13.86
Tokyo,Japan,2023-12-24,135.83,185.73,79.47,13.54,2.11,93.41,0.12,92.07,17.2
London,UK,2023-07-14,34.89,149.08,80.77,10.37,5.53,24.62,13.11,95.19,3.51
Moscow,Russia,2023-03-25,32.19,52.46,35.33,29.49,1.36,27.9,31.31,31.63,14.79
Moscow,Russia,2023-11-08,26.59,51.67,33.83,5.0,6.33,59.2,-5.83,47.91,13.68
Dubai,UAE,2023-01-07,64.0,186.99,79.38,26.07,1.84,64.93,26.49,85.65,12.36
Tokyo,Japan,2023-03-08,55.03,117.36,48.44,28.48,7.11,87.01,26.77,39.67,1.68
Dubai,UAE,2023-01-22,20.98,137.7,5.15,15.37,5.22,166.72,31.04,49.67,4.77
Cairo,Egypt,2023-03-09,10.83,91.64,39.5,48.58,4.2,104.79,9.74,29.64,19.02
Mumbai,India,2023-12-26,21.62,34.16,77.69,21.54,2.37,77.73,-7.71,58.44,7.87
Mexico City,Mexico,2023-12-28,46.08,112.92,75.22,6.7,8.56,153.97,29.03,71.03,0.99
Rio de Janeiro,Brazil,2023-04-17,12.31,187.03,75.1,32.31,3.43,142.25,29.08,51.62,18.31
Los Angeles,USA,2023-01-19,89.91,80.53,11.32,41.45,6.68,147.99,-2.38,30.63,11.93
Beijing,China,2023-10-07,58.33,43.29,18.14,24.64,6.55,193.96,38.59,51.73,3.27
Moscow,Russia,2023-01-06,92.91,32.99,62.61,27.03,7.9,53.73,-0.37,96.19,17.39
Bangkok,Thailand,2023-07-15,68.6,60.2,83.8,10.47,9.7,90.04,15.7,82.37,16.44
Paris,France,2023-03-03,46.97,198.09,63.4,8.65,8.16,67.32,26.26,54.83,17.42
Moscow,Russia,2023-06-14,77.32,93.27,61.1,33.89,3.05,72.16,-9.28,50.77,16.05
Sydney,Australia,2023-01-04,113.17,89.16,16.55,26.36,2.02,186.62,30.33,36.92,8.03
Rio de Janeiro,Brazil,2023-06-11,140.82,72.5,82.72,43.49,7.0,180.0,20.63,98.14,17.54
Paris,France,2023-02-05,27.62,86.23,73.53,32.45,0.16,145.08,38.55,66.46,14.55
Mexico City,Mexico,2023-02-18,26.03,138.7,48.22,35.49,8.55,21.83,7.71,87.68,1.3
Sydney,Australia,2023-09-26,121.08,119.78,23.86,15.62,0.93,158.05,17.7,45.82,10.19
New York,USA,2023-03-16,22.1,103.19,47.0,41.98,6.13,126.77,33.68,69.3,6.11
Paris,France,2023-04-06,129.83,35.97,33.22,6.68,3.74,196.68,6.49,79.91,12.97
Sydney,Australia,2023-07-06,46.76,70.53,87.13,47.15,1.08,192.01,24.24,49.38,1.8
London,UK,2023-10-18,40.62,125.02,26.57,24.37,7.3,85.53,29.89,34.22,8.13
Madrid,Spain,2023-10-18,100.62,74.88,33.22,45.21,7.82,63.18,7.83,28.78,3.6
Mexico City,Mexico,2023-10-08,87.55,143.88,82.09,39.72,6.73,34.22,9.61,17.11,7.35
Beijing,China,2023-01-28,49.76,195.71,58.48,4.09,7.99,41.07,6.93,56.86,18.95
Mumbai,India,2023-04-08,18.89,148.39,40.34,49.04,8.43,40.36,4.82,13.03,14.85
Sydney,Australia,2023-05-28,40.39,93.28,29.1,41.24,4.96,96.71,8.81,55.63,2.84
Istanbul,Turkey,2023-07-19,135.75,152.97,8.58,11.11,4.21,110.22,14.65,13.89,9.39
Beijing,China,2023-10-11,142.33,17.06,32.0,5.01,6.13,121.23,-9.19,49.9,3.73
Seoul,South Korea,2023-06-25,46.58,141.48,68.15,43.03,5.89,18.82,-7.5,18.45,14.21
Tokyo,Japan,2023-10-02,118.96,98.14,46.15,25.76,4.69,95.66,13.92,79.86,17.88
Los Angeles,USA,2023-11-28,61.8,70.18,98.62,20.06,7.62,139.71,36.07,45.4,14.48
Tokyo,Japan,2023-08-18,83.55,132.58,32.46,13.92,3.62,187.39,37.05,93.24,16.8
Dubai,UAE,2023-09-13,136.96,196.7,30.55,12.61,8.1,103.19,33.97,80.85,13.2
London,UK,2023-12-08,65.6,34.44,54.44,20.29,5.5,104.55,35.06,63.06,3.42
Los Angeles,USA,2023-06-08,64.39,113.88,67.24,16.62,8.45,141.48,8.13,37.01,11.84
Paris,France,2023-04-15,96.68,135.6,78.74,19.7,7.92,187.1,16.19,72.26,2.71
Dubai,UAE,2023-02-28,100.09,70.54,29.96,4.76,1.04,96.58,19.53,90.94,8.49
London,UK,2023-07-03,116.72,42.33,40.42,26.43,6.73,12.94,33.17,99.03,11.65
Los Angeles,USA,2023-04-26,86.95,141.28,51.38,18.36,2.05,156.69,8.97,73.12,3.18
Paris,France,2023-08-27,98.09,41.07,84.74,35.46,3.58,44.93,20.56,37.34,16.42
Rio de Janeiro,Brazil,2023-06-11,37.75,178.24,34.14,15.21,6.34,115.4,0.61,54.01,19.54
Paris,France,2023-04-20,68.01,134.73,54.94,10.57,6.05,87.31,14.41,64.44,19.92
Los Angeles,USA,2023-08-21,20.12,173.26,29.49,25.29,6.9,105.93,27.8,63.01,12.65
Mumbai,India,2023-01-10,148.46,149.98,16.3,8.3,2.18,187.58,16.22,84.57,3.23
